	mass C		
t	x	y	
2.936	0.127	0.118
2.953	0.126	0.118
2.970	0.125	0.118
2.986	0.124	0.118
3.003	0.124	0.118
3.020	0.124	0.118
3.036	0.124	0.118
3.053	0.126	0.118
3.070	0.127	0.118
3.086	0.128	0.118
3.103	0.130	0.117
3.120	0.131	0.117
3.136	0.132	0.117
3.153	0.133	0.116
3.170	0.134	0.116
3.187	0.134	0.116
3.203	0.135	0.116
3.220	0.135	0.116
3.237	0.135	0.116
3.253	0.135	0.116
3.270	0.134	0.116
3.287	0.133	0.115
3.303	0.133	0.115
3.320	0.132	0.115
3.337	0.132	0.115
3.353	0.132	0.115
3.370	0.133	0.114
3.387	0.134	0.113
3.403	0.135	0.113
3.420	0.137	0.112
3.437	0.138	0.112
3.453	0.139	0.111
3.470	0.141	0.111
3.487	0.141	0.110
3.503	0.142	0.110
3.520	0.142	0.110
3.537	0.142	0.109
3.554	0.142	0.109
3.570	0.141	0.110
3.587	0.141	0.109
3.604	0.140	0.109
3.620	0.139	0.109
3.637	0.139	0.109
3.654	0.139	0.109
3.670	0.138	0.109
3.687	0.138	0.108
3.704	0.139	0.108
3.720	0.140	0.107
3.737	0.142	0.107
3.754	0.143	0.107
3.770	0.144	0.106
3.787	0.146	0.106
3.804	0.146	0.106
3.820	0.146	0.106
3.837	0.147	0.106
3.854	0.147	0.105
3.871	0.147	0.105
3.887	0.147	0.105
3.904	0.147	0.105
3.921	0.146	0.104
3.937	0.145	0.104
3.954	0.144	0.104
3.971	0.143	0.104
3.987	0.143	0.104
4.004	0.143	0.104
4.021	0.144	0.103
4.037	0.145	0.102
4.054	0.146	0.101
4.071	0.148	0.102
4.087	0.150	0.101
4.104	0.151	0.101
4.121	0.152	9.968E-2
4.137	0.153	9.920E-2
4.154	0.153	9.863E-2
4.171	0.154	9.833E-2
4.188	0.154	9.833E-2
4.204	0.154	9.785E-2
4.221	0.153	9.746E-2
4.238	0.153	9.726E-2
4.254	0.152	9.702E-2
4.271	0.150	9.669E-2
4.288	0.150	9.639E-2
4.304	0.149	9.623E-2
4.321	0.149	9.556E-2
4.338	0.150	9.513E-2
4.354	0.151	9.460E-2
4.371	0.152	9.398E-2
4.388	0.154	9.319E-2
4.404	0.155	9.278E-2
4.421	0.156	9.184E-2
4.438	0.157	9.112E-2
4.454	0.158	9.086E-2
4.471	0.159	9.060E-2
4.488	0.160	9.025E-2
4.504	0.159	8.984E-2
4.521	0.160	8.912E-2
4.538	0.159	8.923E-2
4.555	0.159	8.907E-2
4.571	0.158	8.883E-2
4.588	0.157	8.814E-2
4.605	0.157	8.771E-2
4.621	0.156	8.739E-2
4.638	0.156	8.643E-2
4.655	0.156	8.602E-2
4.671	0.157	8.504E-2
4.688	0.158	8.486E-2
4.705	0.159	8.454E-2
4.721	0.162	8.387E-2
4.738	0.162	8.249E-2
4.755	0.162	8.168E-2
4.771	0.163	8.131E-2
4.788	0.164	8.099E-2
4.805	0.165	8.047E-2
4.821	0.165	7.966E-2
4.838	0.164	7.911E-2
4.855	0.165	7.863E-2
4.872	0.164	7.838E-2
4.888	0.164	7.813E-2
4.905	0.163	7.821E-2
4.922	0.162	7.768E-2
4.938	0.161	7.710E-2
4.955	0.159	7.639E-2
4.972	0.160	7.581E-2
4.988	0.159	7.509E-2
5.005	0.160	7.471E-2
5.022	0.162	7.410E-2
5.038	0.163	7.356E-2
5.055	0.164	7.306E-2
5.072	0.165	7.221E-2
5.088	0.166	7.145E-2
5.105	0.168	7.064E-2
5.122	0.168	7.027E-2
5.138	0.168	6.946E-2
5.155	0.168	6.935E-2
5.172	0.168	6.911E-2
5.189	0.168	6.843E-2
5.205	0.167	6.778E-2
5.222	0.166	6.726E-2
5.239	0.166	6.655E-2
5.255	0.164	6.609E-2
5.272	0.164	6.506E-2
5.289	0.163	6.467E-2
5.305	0.163	6.416E-2
5.322	0.164	6.331E-2
5.339	0.165	6.242E-2
5.355	0.166	6.175E-2
5.372	0.167	6.072E-2
5.389	0.168	5.980E-2
5.405	0.170	5.906E-2
5.422	0.171	5.804E-2
5.439	0.174	5.791E-2
5.455	0.171	5.626E-2
5.472	0.172	5.558E-2
5.489	0.173	5.521E-2
5.505	0.172	5.443E-2
5.522	0.171	5.358E-2
5.539	0.171	5.301E-2
5.556	0.170	5.214E-2
5.572	0.169	5.155E-2
5.589	0.168	5.062E-2
5.606	0.168	4.995E-2
5.622	0.167	4.907E-2
5.639	0.169	4.874E-2
5.656	0.170	4.767E-2
5.672	0.169	4.651E-2
5.689	0.169	4.553E-2
5.706	0.170	4.440E-2
5.722	0.172	4.333E-2
5.739	0.174	4.232E-2
5.756	0.174	4.121E-2
5.772	0.175	4.076E-2
5.789	0.176	4.003E-2
5.806	0.176	3.929E-2
5.822	0.177	3.849E-2
5.839	0.176	3.796E-2
5.856	0.176	3.728E-2
5.873	0.175	3.675E-2
5.889	0.174	3.619E-2
5.906	0.173	3.537E-2
5.923	0.173	3.528E-2
5.939	0.171	3.440E-2
5.956	0.172	3.366E-2
5.973	0.172	3.309E-2
5.989	0.172	3.214E-2
6.006	0.174	3.139E-2
6.023	0.175	3.085E-2
6.039	0.177	2.961E-2
6.056	0.179	2.849E-2
6.073	0.179	2.785E-2
6.089	0.180	2.728E-2
6.106	0.181	2.639E-2
6.123	0.181	2.596E-2
6.139	0.181	2.517E-2
6.156	0.181	2.462E-2
6.173	0.181	2.442E-2
6.190	0.180	2.390E-2
6.206	0.179	2.334E-2
6.223	0.178	2.246E-2
6.240	0.177	2.176E-2
6.256	0.177	2.096E-2
6.273	0.177	2.057E-2
6.290	0.178	1.974E-2
6.306	0.179	1.895E-2
6.323	0.180	1.817E-2
6.340	0.181	1.745E-2
6.356	0.183	1.617E-2
6.373	0.184	1.469E-2
6.390	0.185	1.395E-2
6.406	0.186	1.332E-2
6.423	0.187	1.245E-2
6.440	0.187	1.197E-2
6.456	0.187	1.118E-2
6.473	0.187	1.046E-2
6.490	0.187	9.704E-3
6.506	0.186	9.162E-3
6.523	0.185	8.406E-3
6.540	0.185	7.730E-3
6.557	0.185	7.197E-3
6.573	0.184	6.006E-3
6.590	0.184	4.887E-3
6.607	0.185	4.352E-3
6.623	0.185	3.026E-3
6.640	0.186	2.173E-3
6.657	0.187	1.084E-3
6.673	0.189	-2.726E-4
6.690	0.191	-1.226E-3
6.707	0.192	-2.188E-3
6.723	0.193	-3.461E-3
6.740	0.193	-4.678E-3
6.757	0.194	-5.108E-3
6.773	0.194	-6.001E-3
